source,name,hosted link
https://twitter.com/elliosch/status/1275448198836793356,1,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113032/new-york-fireworks/1_wacddn.jpg
https://twitter.com/MenshevikM/status/1275482272469258241,2,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113032/new-york-fireworks/2_zm09bd.jpg
https://twitter.com/RobertaMcCain69/status/1275467363547262976,3,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113033/new-york-fireworks/3_hve33n.jpg
https://twitter.com/BrettKollmann/status/1275424047682031616,4,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113033/new-york-fireworks/4_af8mxl.jpg
https://twitter.com/aubreybell/status/1275466700750589954,5,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113034/new-york-fireworks/5_fnfd9d.jpg
https://twitter.com/chichaaang/status/1274546582705356802,6,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113035/new-york-fireworks/6.1_efkelt.jpg
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113034/new-york-fireworks/6.2_jauum7.jpg
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113035/new-york-fireworks/6.3_tgs0wy.jpg
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113036/new-york-fireworks/6.4_wwgxvu.jpg
https://twitter.com/HappyCenter3/status/1275244584575082497,7,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113036/new-york-fireworks/7_qf0mfg.jpg
https://twitter.com/jessesingal/status/1274769474923696131,8,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113037/new-york-fireworks/8.1_jc3nfg.png
,,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113036/new-york-fireworks/8.2_bf2nf0.png
https://twitter.com/Flatbush_kloud/status/1275114025370759175,9,https://res.cloudinary.com/memeticinfluence/image/upload/v1593113037/new-york-fireworks/9_ffqoyc.jpg
https://vm.tiktok.com/JehAusW/,10,https://res.cloudinary.com/memeticinfluence/video/upload/v1593113651/new-york-fireworks/10_dkpny7.mp4
https://vm.tiktok.com/JehmY7q/,11,https://res.cloudinary.com/memeticinfluence/video/upload/v1593113725/new-york-fireworks/11_hymm1g.mp4
https://vm.tiktok.com/JehaXu3/,12,https://res.cloudinary.com/memeticinfluence/video/upload/v1593113663/new-york-fireworks/12_k6payt.mp4
https://vm.tiktok.com/Jehagxj/,13,https://res.cloudinary.com/memeticinfluence/video/upload/v1593113672/new-york-fireworks/13_xwm2kg.mp4
https://vm.tiktok.com/JekRbJp/,14,https://res.cloudinary.com/memeticinfluence/video/upload/v1593113817/new-york-fireworks/14_nndfog.mp4
https://vm.tiktok.com/JehcHEe/,15,https://res.cloudinary.com/memeticinfluence/video/upload/v1593113821/new-york-fireworks/15_lfmxlp.mp4
,,
,,
brought to you by memetic influence,,
datasets@memeticinfluence.com,,
